529)	2.00936
530)	2.00182
531)	2.02947
532)	2.02004
533)	2.00245
534)	2.01062
535)	2.0345
536)	1.99177
537)	2.00622
538)	1.96161
539)	2.01879
540)	2.02696
541)	2.00182
542)	2.01627
543)	2.02381
544)	2.02067
545)	2.01942
546)	1.98988
547)	2.02696
548)	1.97732
549)	1.98863
550)	1.99742
551)	2.01942
552)	2.03952
553)	1.99051
554)	1.99805
555)	2.02319
556)	2.04392
557)	1.99365
558)	1.99931
559)	1.99931
560)	1.99491
561)	1.96161
562)	1.9968
563)	1.99303
564)	1.99491
565)	2.00811
566)	1.97858
567)	2.04078
568)	1.99617
569)	2.01062
570)	2.00873
571)	2.02319
572)	2.01439
573)	1.98234
574)	1.98109
575)	1.97166
576)	2.02507
577)	1.98674
578)	2.02004
579)	2.00245
580)	1.97795
581)	1.96852
582)	2.01188
583)	2.00622
584)	2.01313
585)	1.96915
586)	2.02193
587)	1.9924
588)	2.00057
589)	1.94653
590)	2.00685
591)	2.00936
592)	1.98611
593)	2.0301
594)	2.01062
595)	1.97292
596)	2.00811
597)	2.01376
598)	1.99428
599)	1.98863
600)	1.97732
601)	2.01627
602)	1.97292
603)	2.00811
604)	1.99554
605)	1.96538
606)	1.99805
607)	1.95596
608)	1.988
609)	1.95973
610)	2.03387
611)	2.00496
612)	1.99114
613)	2.00559
614)	2.00057
615)	1.99868
616)	1.96789
617)	2.00496
618)	2.00119
619)	2.00057
620)	1.99931
621)	2.00371
622)	1.98988
623)	2.00434
624)	2.01565
625)	2.02319
626)	2.02507
627)	2.01188
628)	1.98988
629)	1.98297
630)	2.01062
631)	1.98109
632)	1.99805
633)	1.99365
634)	1.98737
635)	2.00873
636)	1.98423
637)	1.98172
638)	2.04141
639)	2.00685
640)	1.95973
641)	2.03638
642)	1.99365
643)	2.00559
644)	1.99428
645)	2.02758
646)	2.02004
647)	2.00559
648)	1.99994
649)	1.95721
650)	2.01816
651)	1.99554
652)	1.99742
653)	2.00245
654)	2.03198
655)	2.01125
656)	2.04141
657)	2.00308
658)	1.9792
659)	2.02758
660)	2.00308
